,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,ate,ate_hat,ate_error,policy_risk,baseline
59,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.2714828069471626,0.2680828069471626,0.0402895648558188,COM-SL
60,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.24549929340344717,0.24209929340344719,0.0402895648558188,RW
61,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.2730053039990946,0.2696053039990946,0.0402895648558188,RW-SL
62,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.3166556926477952,0.3132556926477952,0.0402895648558188,Proxy Oracle
63,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.0004941975167459256,0.002905802483254074,0.039440103854095916,Target Oracle
64,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.003908137979245191,0.0005081379792451911,0.03869042027940042,OBS
65,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.01052777201571449,0.00712777201571449,0.036890089663495176,OBS Oracle
66,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.4025625343160857,0.39916253431608567,0.03604407855600714,COM
67,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.37211398882140256,0.36871398882140255,0.03604407855600714,COM-SL
68,0.4,0,0.0,0,0.011707721278071404,0.10548284649848938,6.072432800169773e-17,0.9862467653583735,ohie,12994,-0.0034,-0.41896091623725895,0.41556091623725894,0.03604407855600714,RW
