,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
86,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.4031853826898049,0.9448576558091818,0,COM-SL
87,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.38357522091378393,0.9628109771736343,1,COM-SL
88,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.4154162980230638,0.9543472685303924,0,RW
89,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.39775963110613044,0.9628109771736343,1,RW
90,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.4711959754687184,0.922031290074378,0,RW-SL
91,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.36659471276615285,0.9628109771736343,1,RW-SL
92,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.3897058601499536,0.9528084124134394,0,Proxy Oracle
93,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.38624455752943987,0.9628109771736343,1,Proxy Oracle
94,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.6863474540189451,0.9443447037701975,0,Target Oracle
95,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.7299698712178274,0.9556296486278533,1,Target Oracle
96,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.45225144566173126,0.9563990766863298,0,OBS
97,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.49058217362725903,0.9612721210566813,1,OBS
98,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.7169695977819281,0.9512695562964862,0,OBS Oracle
99,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.7170747135779258,0.9440882277507053,1,OBS Oracle
100,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.4223546476179474,0.9430623236727366,0,COM
101,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.4320529447935146,0.9612721210566813,1,COM
102,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.50506543183729,0.9253654783277764,0,COM-SL
103,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.4229646539964802,0.9612721210566813,1,COM-SL
104,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.46841846852917957,0.9417799435752757,0,RW
105,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.4294122428208952,0.9612721210566813,1,RW
106,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.5239135876157652,0.9104898691972301,0,RW-SL
107,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.41964632793118806,0.9612721210566813,1,RW-SL
108,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.4645660447593559,0.9438317517312131,0,Proxy Oracle
109,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.41053771724610744,0.9612721210566813,1,Proxy Oracle
110,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.7055743817830576,0.9484483200820724,0,Target Oracle
111,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,0.6807021139751355,0.9461400359066428,1,Target Oracle
112,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.44264676386638896,0.9548602205693768,0,OBS
113,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.42524384787472036,0.9612721210566813,1,OBS
114,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.7267615521098512,0.9499871761990254,0,OBS Oracle
115,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.7032107382550336,0.9530648884329315,1,OBS Oracle
116,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.4864984957185836,0.9328032828930495,0,COM
117,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.39783355704697987,0.9617850730956655,1,COM
118,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.39824114788243464,0.9394716593998461,0,COM-SL
119,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,0.39527158836689036,0.9617850730956655,1,COM-SL
